産業大分類コード,産業大分類名,業種中分類コード,業種中分類名
A,"農業,林業",1,農業
F,電気・ガス・熱供給・水道業,34,ガス業
J,金融業，保険業,63,協同組織金融業
D,建設業,8,設備工事業
D,建設業,6,総合工事業
R,サービス業（他に分類されないもの）,91,職業紹介・労働者派遣業
K,不動産業，物品賃貸業,70,物品賃貸業
E,製造業,27,業務用機械器具製造業
L,学術研究，専門・技術サービス業,74,技術サービス業（他に分類されないもの）
E,製造業,23,非鉄金属製造業
R,サービス業（他に分類されないもの）,89,自動車整備業
E,製造業,9,食料品製造業
E,製造業,14,パルプ・紙・紙加工品製造業
P,医療，福祉,83,医療業
H,運輸業，郵便業,48,運輸に附帯するサービス業
H,運輸業，郵便業,49,郵便業（信書便事業を含む）
E,製造業,21,窯業・土石製品製造業
M,宿泊業、飲食サービス,76,飲食店
I,卸売業，小売業,52,飲食料品卸売業
H,運輸業，郵便業,45,水運業
J,金融業，保険業,66,補助的金融業等
E,製造業,31,輸送用機械器具製造業
E,製造業,17,石油製品・石炭製品製造業
N,生活関連サービス業，娯楽業,80,娯楽業
N,生活関連サービス業，娯楽業,79,その他の生活関連サービス業
E,製造業,13,家具・装備品製造業
H,運輸業，郵便業,47,倉庫業
I,卸売業，小売業,50,各種商品卸売業
E,製造業,22,鉄鋼業
M,宿泊業、飲食サービス,75,宿泊業
I,卸売業，小売業,55,その他の卸売業
H,運輸業，郵便業,42,鉄道業
P,医療，福祉,84,保健衛生
E,製造業,18,プラスチック製品製造業（別掲を除く）
R,サービス業（他に分類されないもの）,95,その他のサービス業
A,"農業,林業",2,林業
E,製造業,25,はん用機械器具製造業
H,運輸業，郵便業,46,航空運輸業
I,卸売業，小売業,51,繊維・衣服等卸売業
L,学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）
R,サービス業（他に分類されないもの）,94,宗教
B,漁業,3,漁業（水産養殖業を除く）
E,製造業,20,なめし革・同製品・毛皮製造業
I,卸売業，小売業,54,機械器具卸売業
D,建設業,7,職別工事業(設備工事業を除く)
R,サービス業（他に分類されないもの）,90,機械等修理業（別掲を除く）
E,製造業,15,印刷・同関連業
O,教育，学習支援業,82,その他の教育，学習支援業
F,電気・ガス・熱供給・水道業,35,熱供給業
J,金融業，保険業,62,銀行業
H,運輸業，郵便業,43,道路旅客運送業
E,製造業,30,情報通信機械器具製造業
M,宿泊業、飲食サービス,77,持ち帰り・配達飲食サービス業
G,情報通信業,40,インターネット附随サービス業
B,漁業,4,水産養殖業
R,サービス業（他に分類されないもの）,93,政治・経済・文化団体
I,卸売業，小売業,61,無店舗小売業
F,電気・ガス・熱供給・水道業,36,水道業
I,卸売業，小売業,58,飲食料品小売業
G,情報通信業,39,情報サービス業
I,卸売業，小売業,57,織物・衣服・身の回り品小売業
P,医療，福祉,85,社会保険・社会福祉・介護事業
E,製造業,28,電子部品・デバイス・電子回路製造業
G,情報通信業,37,通信業
I,卸売業，小売業,60,その他の小売業
K,不動産業，物品賃貸業,69,不動産賃貸業・管理業
E,製造業,19,ゴム製品製造業
N,生活関連サービス業，娯楽業,78,洗濯・理容・美容・浴場業
E,製造業,12,木材・木製品製造業（家具を除く）
J,金融業，保険業,67,保険業（保険媒介代理業，保険サービス業を含む）
R,サービス業（他に分類されないもの）,88,廃棄物処理業
C,鉱業，採石業，砂利採取業,5,鉱業，採石業，砂利採取業
I,卸売業，小売業,56,各種商品小売業
E,製造業,11,繊維工業
G,情報通信業,41,映像・音声・文字情報制作業
I,卸売業，小売業,53,建築材料，鉱物・金属材料等卸売業
E,製造業,10,飲料・たばこ・飼料製造業
Q,複合サービス事業,87,協同組合（他に分類されないもの）
L,学術研究，専門・技術サービス業,71,学術・開発研究機関
L,学術研究，専門・技術サービス業,73,広告業
F,電気・ガス・熱供給・水道業,33,電気業
E,製造業,32,その他の製造業
J,金融業，保険業,65,金融商品取引業，商品先物取引業
E,製造業,26,生産用機械器具製造業
R,サービス業（他に分類されないもの）,92,その他の事業サービス業
K,不動産業，物品賃貸業,68,不動産取引業
I,卸売業，小売業,59,機械器具小売業
J,金融業，保険業,64,貸金業，クレジットカード業等非預金信用機関
E,製造業,24,金属製品製造業
Q,複合サービス事業,86,郵便局
E,製造業,29,電気機械器具製造業
G,情報通信業,38,放送業
H,運輸業，郵便業,44,道路貨物運送業
E,製造業,16,化学工業
O,教育，学習支援業,81,学校教育
